Gene,logFC,p
Mterf3,-0.7230563,0.0225619
Aldh6a1,1.054264666,0.022596318
Rab5c,2.475869643,0.022652602
Upf3b,-1.056308143,0.022713528
Tmem214,-0.566672489,0.022750944
Rsrc1,0.670203951,0.022755792
Adrb1,0.761376273,0.022784429
Zdhhc24,1.021431381,0.022789039
Ints11,-0.860687215,0.022831736
Mif,-0.758821985,0.022831932
Camk2d,-0.953703554,0.022875051
Gtpbp3,1.553874453,0.022892504
Cep131,-0.920508305,0.023036392
Hadhb,-1.062029934,0.023088383
Nipsnap2,2.163153,0.02319276
Tnfrsf10b,1.810488609,0.023284303
Raf1,-1.54800576,0.023311937
Gm50455,-1.06990883,0.023386097
Hnrnph2,-0.678071905,0.0234175
Zfp523,1.265573108,0.02342
Fam107b,1.065830265,0.023431799
Arrb1,-0.635489959,0.023433402
Srsf9,1.210150957,0.023447359
Dnttip1,-0.685183387,0.023447558
Ifnlr1,-0.730036167,0.023451771
Ino80e,-0.916476644,0.023475475
Rad18,2.300103486,0.02351147
Pck2,0.480265122,0.023516536
Ext1,-2.260318008,0.023517012
Cend1,0.769368444,0.023521549
Atp6ap2,0.938090902,0.023632173
Ets2,-1.17828108,0.023826406
Erp29,-0.382305339,0.023880188
Thoc1,-1.326700418,0.023903058
Ccdc166,-1.143159836,0.023968713
Ptpra,-0.641546029,0.023972059
Fam199x,-1.575657557,0.023975369
Klc1,1.218740027,0.023992915
Rfk,-0.677182077,0.024024151
Napa,0.834886411,0.02405362
Tial1,1.173950389,0.024076459
Myl6,-1.32775007,0.024103605
Cfl2,-0.87337417,0.024113474
Gm8894,-1.333467373,0.02413701
Bnip3l,1.359446831,0.024215017
Smarcal1,-1.551812052,0.024276008
Acsf2,-0.518058851,0.024325161
Tacc2,0.4639471,0.024498909
Mrps18b,-2.199498528,0.024507885
Sun1,-1.840483059,0.024546426
Mlxipl,0.536059975,0.024547685
Gm28229,1.533154757,0.024588189
Erc1,-0.222392421,0.024615978
Pdlim4,1.851088834,0.024633475
Pxylp1,-0.26808874,0.02464392
Ndufaf4,1.117108303,0.02476013
Mycbp2,0.583399998,0.024793163
Mapk1ip1l,-1.79930535,0.024793394
Cd274,-0.389281081,0.024796194
Pcbp2,-1.090328975,0.024805366
Asb16,0.891106245,0.024835385
Ppip5k1,-0.357031896,0.02491153
Trmt1,1.013025918,0.024923663
Timm10b,-0.694838837,0.024977412
Ppm1h,0.342517201,0.024998241
Uimc1,-0.305597443,0.025033813
Phyhd1,-0.863797207,0.025047423
Miip,1.740592019,0.025063145
Eif4g1,-1.331012187,0.025096205
Tes,-1.090268397,0.025098422
Jkamp,-1.350497247,0.025116532
Uspl1,0.912868263,0.025147469
Necap2,1.835358201,0.025189144
Bend7,-0.21968377,0.025234393
Kif16b,0.604943731,0.02530605
Pcnt,-1.417036133,0.025311455
Ciz1,-1.731463829,0.025353611
Zfp874a,-0.803191297,0.025437844
Fbxo21,1.098307582,0.025463316
Desi2,1.73477513,0.025464124
Wbp11,-0.721057151,0.025473509
Mrpl36,0.660656024,0.025496137
Plekha6,1.907914853,0.02550176
Clu,1.34728919,0.025539462
Kctd1,-0.939310797,0.025623156
Hspa2,0.578248054,0.025626842
Dync1i2,0.754887502,0.025634219
Ttbk1,0.739719551,0.025648292
Phldb3,-0.722466024,0.025684293
Gabarap,1.041533062,0.025776834
Ranbp1,1.286201151,0.025801569
Washc1,-0.815870482,0.025829297
Hopx,0.943845174,0.025856482
Ganc,1.199910568,0.025858846
Wdfy1,-0.225347755,0.025998326
Ppp1r16a,-2.892265201,0.026063622
Atp6v0e2,-1.31094688,0.026067518
Scnm1,-1.222386104,0.026100552
Fn1,-2.054764753,0.026140675
Plekhh3,1.173453116,0.026180854
Olfr1393,-1.57122512,0.026184764
Rab7-ps1,-0.61667136,0.026198513
Smg7,-0.226948647,0.026206983
Sbno1,0.250599847,0.02628988
Kifc5b,-2.466597021,0.026314983
Gm16199,-1.759875879,0.026331814
Smug1,-0.56067934,0.026379925
Pitpnm2,-0.286556669,0.026392067
Ankrd46,-1.382542219,0.026395354
Adgrg2,1.123984286,0.026413082
Ppp3cb,-0.384567923,0.026427972
Ssr4,2.098983011,0.026441219
Rlim,-0.95756306,0.026478676
Myct1,-2.299857202,0.026483992
Arfgef2,-1.711042249,0.026488693
Cul7,1.487213345,0.026493605
Aplnr,1.875103479,0.026506844
Aup1,-1.840011252,0.026612867
Tet2,-1.019644929,0.026635641
H2-Q4,-1.316858326,0.026676275
Rnf220,-2.43692669,0.026774064
Hnrnpa1,-1.038277143,0.026834543
Hdlbp,1.693081714,0.02692539
Ppp1r14b,2.026492253,0.026928109
Gm40841,-0.207272234,0.026992838
Ppip5k2,0.400615442,0.027008353
Zfp746,1.907620573,0.027034395
Ei24,0.642400637,0.027057687
Hadhb,-1.580169896,0.027061285
Mff,-0.710630666,0.027075707
Pcdh17,1.082112318,0.027115268
Gm9889,-1.64966819,0.02712609
Sh2b1,-0.415037499,0.027172643
Ppan,1.658810756,0.027175462
Ptgds,-0.594329605,0.027178325
Cherp,-1.213850377,0.027183889
Atp9a,0.920959535,0.027184403
Mpv17,-1.122268541,0.027186279
Txnl4a,0.454496977,0.027212837
Ctsl,-1.154415137,0.027221653
3222401L13Rik,-0.984877251,0.027226604
Nsfl1c,-1.510965216,0.027229901
Rn7s1,0.770458901,0.027230179
Zfp772,1.159398319,0.027250381
Gne,-0.498805857,0.027306805
Spon2,-1.432756607,0.027393874
Tmem240,-1.994042545,0.027408956
Zfc3h1,-0.5425114,0.027471209
Ensa,-0.318902134,0.027527751
Ptgds,-0.070097358,0.027594506
Ctr9,-1.620857941,0.027635509
Abce1,-0.389655348,0.027674155
Tmcc1,1.617168428,0.027714222
Zfp182,-1.148872723,0.027769187
Sprtn,-1.649165841,0.027789655
Pcdh12,-0.882340494,0.027841201
Slc20a1,1.152003093,0.027919724
Ptk2b,1.370860431,0.027965548
Rrp7a,-0.741430799,0.028001549
Pam,-0.287360677,0.028037626
Rassf4,-0.526635797,0.028073386
Rapgef2,0.478907959,0.028075729
Ufd1,-2.353503956,0.02808059
Nt5c2,-0.896565757,0.028085785
Fbrs,-0.636480367,0.028107046
Plac9a,0.840587967,0.028144149
Foxk1,-0.339959773,0.028196619
Atp5a1,-1.56112397,0.028244468
Tmcc1,-1.059263264,0.028261537
Gm26737,-0.408889018,0.028276475
Adgrg2,0.696511402,0.02833087
Ppp2r1a,1.057293377,0.028372828
Chst7,-0.73177669,0.028375549
Irak1,-1.195688098,0.028400061
Sall2,-0.736327092,0.028429147
Tmod2,-0.49220536,0.028462017
Cmtm5,-0.355104385,0.028488855
Rps24,-1.079295665,0.028555395
Krt222,0.975773744,0.028574241
Atxn7l3,1.420107699,0.028583236
Ipo4,-1.146333597,0.028587834
Extl2,0.507278023,0.028587979
Zfpm2,0.996996221,0.028594777
Gm42664,-0.56759369,0.028632895
Trp53i11,0.427110332,0.028635492
Arhgap21,0.712793284,0.028701213
Tulp4,1.532246192,0.028703576
D430040D24Rik,-0.699323285,0.028715065
Smc1a,-1.301429968,0.028759689
LTO1,-0.986187784,0.028778313
Adcy3,0.697450566,0.028780159
Rgmb,1.393165967,0.028786712
Cox4i1,0.811972007,0.028802603
Ccdc167,-0.416586438,0.028874969
Tomm34,-0.744161096,0.028881109
Klhdc4,-1.221424494,0.028939722
Psma1,-0.492588472,0.028939946
Gper1,-0.321928095,0.028946799
Pon3,0.486064639,0.028961397
Ubl7,1.097241764,0.029018878
Rcor3,2.083106348,0.029048866
Gm9917,-3.456087878,0.029064453
Etfdh,-0.47658778,0.029066632
Rmnd5b,0.451456769,0.029076458
Nxn,-0.856199228,0.02908308
Ctc1,-0.758643408,0.02908964
Syf2,0.919648671,0.029097914
Psmd8,-0.679053798,0.029100014
Tnfsf10,1.064627523,0.029132459
Washc2,-2.25499069,0.029136207
Zkscan3,-0.563832529,0.029182063
Tomm40,1.895467027,0.029208874
Clasp2,-0.27087658,0.029215598
Ctdspl2,2.091342965,0.029258538
Otud5,1.124205954,0.02928708
Usp16,-1.100174864,0.029338301
Sirt4,-1.218147117,0.0294071
Camkk2,0.519050571,0.029445193
Klhdc3,0.619099602,0.029455637
Khdc4,-1.128836793,0.029458417
Zgpat,-0.915045039,0.029466408
Spaar,0.362433006,0.029468914
Zfp330,-0.736965594,0.029492168
Gm12802,-0.569834466,0.029506481
Tmem237,0.512575762,0.029517633
Wtap,-0.858728818,0.029558013
Cnn2,-0.529418907,0.029576996
Ccdc61,-1.046674051,0.02960029
Pkn2,-0.811162964,0.029622965
Npepps,1.689469695,0.029657006
Epb41l3,-0.458840785,0.029657416
Msn,0.812700008,0.029718054
Aspg,1.834005401,0.029808726
Heca,-0.456620611,0.029842138
Dbi,1.395044545,0.029865819
Cnot10,-0.651723617,0.029874655
Lonrf2,-1.124158489,0.029879409
Ifi209,0.943379099,0.029909628
Sec61a1,0.491144504,0.029953246
Nt5c2,0.114850928,0.029955486
Aopep,1.970279132,0.029999719
Mdm1,0.574533377,0.03001406
Anapc5,-0.811667672,0.030049424
Fnbp4,-0.832364738,0.030063658
Supv3l1,-1.823877918,0.03007887
Polr3d,-0.631758748,0.030092382
Mier1,0.67750808,0.030101608
Kctd1,1.140700096,0.030110533
Acsl6,0.287683643,0.030145067
Ncoa3,1.241204189,0.030234648
Tfdp2,-2.264564548,0.030280197
Tob2,-1.007951435,0.030284821
Ric8b,0.561992018,0.03030515
Rce1,1.36477971,0.030350043
Odf3b,-0.661315583,0.030351195
Ppp1r12a,-0.735068836,0.030363141
Zfp277,1.36865359,0.030385339
Gm16089,0.222392421,0.030385964
Ccdc149,-0.041820176,0.03040272
Phactr1,2.290707519,0.030423082
C130051F05Rik,-1.055438986,0.030457616
Ankrd16,0.415037499,0.030466292
Cldn23,-0.415037499,0.030466292
Bicd1,1.066931547,0.030522693
Trim68,0.959130948,0.030595791
Med18,0.675076784,0.030625988
Plxnd1,0.828113482,0.030631921
Trio,2.943411475,0.030680286
Arhgef15,1.498245397,0.03069134
Ss18,-0.754785711,0.030710972
Pip4k2a,-0.445426566,0.030748423
Gm50240,-0.643671808,0.030781434
Pcbp2,-0.41105441,0.030816839
Tmem52,0.930586607,0.030827811
Serbp1,1.235522842,0.030843199
Nif3l1,-1.268553375,0.030868291
Riok3,1.357729146,0.03087679
Abi3,-0.985096189,0.030904869
Mapk8,-1.521891166,0.030909493
Bcl2l12,0.867176931,0.030946208
Gm50163,-0.500491441,0.030959542
Npepl1,-0.110767439,0.030988806
Arl4d,-3.593376736,0.031047309
Gm17473,0.734744354,0.031050933
Fuz,0.397479128,0.031094522
Fsd1l,0.806950073,0.031119455
Lysmd3,1.877390133,0.031142265
Scyl1,0.767880315,0.031156356
Gm48898,-0.683846284,0.031159854
Rmnd1,0.662965013,0.031164606
Ampd2,0.524677024,0.031199319
Pcm1,-1.625571958,0.031220846
Tmem260,0.629826117,0.031229185
Ergic2,1.104308267,0.031232498
Mmp14,0.625795305,0.031235117
Sdc1,-0.794323724,0.031254814
Mdh2,-1.181662131,0.031256279
Mdm2,0.402993165,0.031280222
Sgk3,-0.490028978,0.031338526
Tle2,2.498560646,0.03134199
Jmjd1c,0.902150985,0.031355564
Tmem86b,-0.293930665,0.031412023
Spg20,-1.03718696,0.03148131
Crppa,1.017335573,0.031502273
Stag1,-0.055792189,0.031524528
Spata5,2.108280296,0.03152652
Gm35853,-0.814568412,0.03152998
Tmem80,0.826267501,0.03159185
Pogz,-0.387927928,0.03160076
Spag9,2.941272165,0.03166472
Csgalnact1,1.566831194,0.031697745
Ctnna1,-0.623380407,0.031763699
Gatad1,-0.452605961,0.031806957
Cfdp1,1.74546686,0.031811862
Ndfip1,-1.181750437,0.031870572
Timm10b,0.49183367,0.031906694
Myo18a,0.810839097,0.031908457
Chd1l,1.159375225,0.031931264
Polg,-1.075156661,0.031942893
Ndufs5,0.684268171,0.031999648
Gprc5b,1.109056903,0.032010501
Lrrc36,0.725324195,0.0320436
Ammecr1l,0.73459121,0.032113272
Zzef1,-1.147255085,0.032131105
Adam15,1.077910709,0.032138467
Rpl12,-1.751824924,0.032150954
Prr14,-1.162102641,0.032151199
D630039A03Rik,-0.546186411,0.03218466
Nme7,0,0.032213787
Rit1,-0.738385855,0.03223214
Lamb3,0.112299496,0.032262332
Pycr2,1.247734416,0.032294101
Gm42595,-0.520060845,0.032331362
Gm21926,-0.152003093,0.032347106
Slc22a1,1.280208705,0.032370965
Gm29237,-0.458540558,0.032459778
Tmc6,-0.75771949,0.032476264
Taf6l,-0.625918779,0.032490903
Mtus1,-1.005532594,0.032504867
Spcs1,1.454656449,0.032542933
Cdk9,1.009401273,0.032553934
Smad2,-0.314524826,0.03256571
Ifi27,-1.032416788,0.032623077
Ndufs4,-1.304885536,0.032628953
U2af1l4,0.843130024,0.032663012
Ebf4,-0.777297705,0.032673384
Gm37376,0.700039025,0.032723307
Serping1,1.227978252,0.032751115
Dtnbp1,1.180328791,0.032753822
40057,1.321939848,0.032755437
Raly,1.686267898,0.032824012
Fam78b,1.300744045,0.032901051
Mapk12,-2.055177145,0.032915212
Ddb1,1.271848385,0.032936177
Arap1,1.508484167,0.032943733
Rnf217,-1.924416648,0.032953016
Ppp1r15b,0.746409035,0.033053675
Gm6649,-1.05660223,0.033099663
Sgta,-0.542463936,0.033112043
Csnk2a1,-1.006153865,0.033113836
Fubp1,0.336957587,0.033125541
Cdca2,0.571811356,0.033148324
Rpap1,0.614893032,0.033188911
Gnpat,1.1271583,0.033195721
Lamtor1,0.578962912,0.033304459
2610507B11Rik,-1.365160826,0.03331891
Dlat,1.273418491,0.033325644
Rasl12,1.253539693,0.033335293
Idh3g,-1.163712452,0.033457488
Bricd5,1.373022309,0.033473556
Gm45805,-0.837251945,0.033496888
Nfyc,0.528378972,0.033519558
Fam227a,-1.190719498,0.033533079
Lman2l,0.566312115,0.033605978
Dzank1,0.737933521,0.033643108
Zfp687,-0.386359967,0.03364618
Zfp945,0.193081898,0.033676455
Gnb3,-1.071415384,0.033677894
Atp6v1a,-0.454367292,0.033710785
Slc35c1,-1.578164853,0.033725647
Slc15a2,-0.679702525,0.033786646
Fam13c,-1.746617144,0.033816205
Agbl3,1.692790251,0.033845152
Dhps,-0.988135312,0.033881185
Mbd6,0.23720191,0.033887808
Mgmt,-1.818050351,0.033892773
Rbm6,-0.719892081,0.033954348
Itprid2,0.228484418,0.034004342
Ankzf1,0.716825464,0.03400584
Eme2,-0.752377757,0.034010769
Gm11878,0.505055157,0.034038008
Tomm70a,-0.838079103,0.034103563
Zdhhc2,-0.520103345,0.034116511
Retsat,0.251002334,0.034135266
Dcaf17,-1.101226513,0.034142369
Pcyt2,-0.615231556,0.034193338
Rps9,-0.39217865,0.034199154
Fam129c,0.26687103,0.034239014
Dpysl2,-0.837468597,0.03426065
Zfp715,-1.536361862,0.034316704
Itm2a,-1.770927491,0.034381237
Mrpl35,-1.5776577,0.034410793
AI987944,0.722836904,0.03451028
Serpinf1,-0.950863781,0.034528301
Ahnak,-1.767669937,0.034572451
Aurka,-1.645989115,0.034574613
Ube2d3,-0.649349852,0.034591392
Atxn7l1,0.826456116,0.034600312
Ccndbp1,-0.810676302,0.034614078
Grpel2,-1.295015462,0.03464368
Ftl1,0.946629353,0.034696414
Per2,-2.42352593,0.034710321
Etl4,0.701120395,0.034741606
Anapc16,-0.67723677,0.034781499
Tmem39a,-1.92176228,0.034817725
Pced1a,0.0966357,0.034822729
Mkln1,-0.651764391,0.034842602
Hnrnpdl,-1.157527798,0.034884604
Fbf1,-0.370533855,0.034942278
Zfp846,-1.671298497,0.03494996
Efl1,-0.7963433,0.034965504
Got1,0.319055187,0.035000428
Ncor2,0.014010149,0.035018514
Cspg4,1.423872373,0.035024586
Ifit1,1.47820173,0.035035095
Dnajb5,-0.782946142,0.035041569
4930481A15Rik,-0.636947172,0.035052681
Gp5,-0.878585226,0.03505766
Kctd15,-0.678071905,0.035070144
Cast,0.589150622,0.035132109
Eny2,-0.832650985,0.035177747
Twsg1,-0.611072791,0.035193582
Cd82,1.03374381,0.035222622
Fgd5,2.312206408,0.035235397
Rpl27-ps3,0.713976667,0.035271288
Setd5,-2.812152251,0.035279256
Snap47,1.034509237,0.035287607
Klhl6,-1.067649362,0.035295153
Mrps17,-0.91910029,0.035315179
Nadk2,0.627724887,0.03533261
Lap3,-2.722243581,0.035335237
Gpihbp1,-0.928492702,0.03545258
Tulp4,-1.145850558,0.035493279
Pramef8,1.125667518,0.03550772
Mon2,0.687904517,0.035525906
G2e3,-0.392195825,0.035527264
Arhgap17,-0.883300691,0.035544335
Adgrb2,-1.838854037,0.035572557
Wsb1,-1.194902746,0.035601267
Med25,-0.834870134,0.035621472
Tnfrsf22,-0.279902088,0.035623576
Rps12,0.657892436,0.035637669
Pnkp,0.907945473,0.035684251
Rmnd5a,-0.297191417,0.035718935
Zscan22,-0.569560033,0.03578972
Alg6,1.033485767,0.03579432
Rap1gds1,1.103253766,0.035825076
Trarg1,-0.897610142,0.03586763
Mroh1,-0.925999419,0.035950044
Snrpe,0.497605098,0.035958834
Fbxl16,0.501253462,0.035962499
E330017L17Rik,-1.470627208,0.035966011
Mettl27,0.635490755,0.036002364
Adgrl2,-0.787862995,0.036016872
Lsm4,-1.221387579,0.036039221
Gm49390,-2.330474912,0.036044498
Pomt2,-0.263034406,0.036050264
Khsrp,-0.793065985,0.036056218
Pla2g3,-0.348120987,0.036068877
Afmid,-0.495770272,0.03606983
Sbk2,0.912547701,0.036131566
Dlc1,0.831351528,0.036148306
Gm14267,-1.160732684,0.036162725
1110065P20Rik,-1.054798433,0.036180536
Atp6v0b,-0.65079821,0.036193771
Pam,-0.97832477,0.03630516
2900093K20Rik,2.593032243,0.036340002
Smpd1,-0.521236903,0.036398162
9430037G07Rik,0.377754013,0.036421031
Lztr1,-0.756247705,0.036447404
Ap2a1,0.713646114,0.036476725
Rpl6,0.673637373,0.036587922
Gm10118,0.565597176,0.036645486
Fam118b,-0.61667136,0.03667082
Pank2,-0.939374867,0.036679498
Fam160a2,-0.439686849,0.036690687
Odf2l,-1.987356927,0.036703729
Gcc1,0.378511623,0.036835635
Laptm4a,0.80663935,0.036906682
Zfp560,-1.081622828,0.036932743
Racgap1,0.263226672,0.036997797
Capza2,0.552933134,0.037037166
Ddx5,-0.268377727,0.037082568
Ift27,1.185334978,0.03710249
Map1s,0.898733142,0.037126002
Xlr4a,-0.455679484,0.037133236
Rpn2,-0.752083737,0.037141256
Ttc19,-0.352717053,0.037260032
Flot1,1.262955198,0.037263894
Dock5,0.363024758,0.037277189
Mrm2,1.338724528,0.037289272
Ttc39a,0.60974918,0.037306446
Sh3glb1,-1.082917551,0.037323391
Trim23,1.42434395,0.037349106
Prrc2a,1.498758516,0.037353176
Gm43360,1.299732029,0.037355991
Acyp2,0.455679484,0.037370958
Ablim2,-1.313366081,0.037393107
Sugct,-0.880505998,0.037403161
Cpsf3,-1.136699378,0.0374473
Fam120b,-1.405472391,0.03751519
Sh3glb2,-0.887068109,0.037515713
Nagpa,-0.849652197,0.037521578
Hdhd3,-1.636510611,0.037524682
Rab3il1,0.472068444,0.03758148
Sec11a,-2.050772364,0.037595083
Mbd4,0.623473901,0.037611361
Stx4a,1.655616813,0.037666154
Bcdin3d,-1.116849853,0.037678097
D130017N08Rik,-1.509846813,0.037703418
Smarca1,-0.557479019,0.037732493
Atxn7l3b,-0.760212047,0.037733352
Adgrf4,-1.011297282,0.037749432
Rai1,-0.516247996,0.037757129
Crcp,2.636964827,0.03775957
Kat8,-0.590316187,0.037762767
Gm15903,-0.516015147,0.037903372
Sirt3,0.437405312,0.037928971
Comp,0.30610605,0.037940116
Dync2h1,1.638901308,0.037973907
Prr14,-1.41533813,0.037974344
Muc16,-1.100968196,0.037976141
Surf1,1.242880904,0.038021683
Thoc1,-0.359784566,0.038036899
Acd,0.686704118,0.038043298
Xpnpep3,2.119764917,0.038072166
Ubxn6,1.107854878,0.038096154
Pabpn1,0.659032217,0.038119429
Srpk1,0.907102417,0.038122045
Ube2m,0.748378659,0.038125549
Plpp5,-1.455851949,0.038175486
Gga3,-1.50248218,0.03820627
Phf24,-2.623155654,0.038248435
Mndal,1.196538396,0.038279918
Ctr9,-2.548904185,0.038399196
Rnf10,-1.553875243,0.038448617
Acin1,0.172594188,0.0385853
Scube2,-0.958262812,0.038590626
Tpra1,-2.683392383,0.038595891
Mapk9,-1.36679601,0.038640894
Nutf2,-0.411644797,0.038677861
Ssh2,1.101552,0.038683264
Hsd17b10,0.620675448,0.038718232
Gtf2ird1,-0.597215702,0.038723469
Clec1a,2.477284554,0.038758751
Wsb1,0.679722345,0.038766287
Paip1,-1.427184001,0.038925873
Ablim1,-0.951651359,0.038982588
Ccl27a,2.213586922,0.038988344
Fastk,0.485327403,0.039020609
Trp53bp2,-0.761565384,0.03902607
Capns1,-0.944775417,0.039041772
Abcb8,-0.898093918,0.039131479
Setx,0.98557622,0.039191704
Lilra5,0.587015064,0.039196481
37316,0.963474124,0.039197171
Spats2l,-1.545912223,0.039207423
Trio,-0.96298968,0.039274198
Mia3,-1.712099767,0.039286266
Kifc2,0.64628536,0.039286904
Grk3,1.67631029,0.039339123
Mndal,1.571777764,0.039382403
Huwe1,1.02414697,0.039415025
Scmh1,0.075130686,0.039418549
Diablo,-0.960120262,0.039488501
Hnmt,0.54922979,0.039490454
Ccdc141,0.767772348,0.039509119
Kantr,1.246119001,0.039564278
A230087F16Rik,0.678071905,0.039576042
Aste1,-1.35132776,0.039610568
Bcr,-1.660049887,0.039615986
Gdi1,-0.956853344,0.039639586
Rps16-ps2,1.721119752,0.039728915
Rtf1,0.590632611,0.039733301
Arrdc2,-0.381515595,0.039814002
Tfpt,-1.192158707,0.039836224
Cdkl2,-1.509439791,0.039841199
Tasor,-1.534308038,0.039879373
Mtmr1,-3.512254627,0.039885313
Gm2897,-0.512734845,0.039886885
Bphl,-0.307901075,0.039935851
Tango2,1.540143275,0.039947382
Bex3,0.862175842,0.039973078
Gm34934,-0.570683157,0.040019098
Scn3b,0.257904489,0.040038215
Zfhx2,-0.512129621,0.040041696
Ctps2,0.605518242,0.040043786
Kcnj14,0.676082438,0.04017071
Atpif1,-1.478732175,0.040189003
H2-T22,-1.007656463,0.040205431
Gas8,0.899919554,0.040236796
Mtus1,1.26525667,0.040240176
Rpn2,-1.938573358,0.040243147
Cdc123,1.399110492,0.040282503
Copg1,1.116111769,0.040297203
Zfand4,0.632928816,0.040305645
Gamt,-2.938489681,0.040324631
Ptpre,1.149004787,0.040411076
Nup214,-1.520975062,0.04042498
Sfxn2,1.241566929,0.040467743
Cep104,-1.707708605,0.040526366
Gm42457,1.010197257,0.040572153
Gm5560,-0.539848133,0.040585446
Dusp11,-0.882119969,0.040659951
Crlf2,2.022640657,0.040660924
Ippk,-1.392195558,0.040717118
Gphn,-0.964367711,0.040737764
Dis3l,-1.108625514,0.040742769
Svil,-1.836270857,0.040757286
Stard9,1.142342399,0.040786312
Sox6,1.356072036,0.040797213
Zeb1,-0.68454509,0.040961048
Zmym6,1.721787113,0.040963693
Dpp3,-1.443486364,0.040966441
Mrps24,1.680530706,0.040987838
Il3ra,-1.374728232,0.040997004
Nudt7,0.79795195,0.041025138
Tars,0.955198989,0.041033885
Stx4a,0.92705018,0.041070141
Dcaf15,-1.319391327,0.041111538
Eny2,-0.358067111,0.041118219
Map2k7,0.441975445,0.0411338
Sec24c,0.588993777,0.041214158
E030013I19Rik,1.618127599,0.041277596
Cldn5,-0.555839343,0.041322432
9530085L11Rik,-1.430689234,0.041346141
Pi16,0.384512632,0.041371976
Apbb1,-1.094234585,0.04138152
Map6,1.128424428,0.041415789
Ccnd3,-0.93423933,0.041421991
Larp1b,-1.284350234,0.04143318
Mecp2,-1.370469461,0.041475964
Pttg1,0.222392421,0.041494079
Limch1,-0.541973042,0.041548134
Tnfrsf1a,0.759790262,0.041555147
Hivep2,-1.208908633,0.041608076
Galnt10,-1.541776894,0.041632083
Pgap1,-0.280744326,0.041654917
Dpp3,1.145339363,0.041662619
Cnih1,0.196809178,0.041674311
Eif5a2,-1.154268114,0.041692137
Pacs2,-0.628744193,0.0417377
Nfatc2,-0.386356945,0.04198181
Eif2s2,-1.16781798,0.041989458
Ppard,-1.07526255,0.042017254
Med10,0.809315156,0.042054224
Plcxd1,0.794771658,0.042080027
5530601H04Rik,0.435259847,0.042096213
Ginm1,0.795212737,0.042119473
Mecr,1.085238328,0.042133565
Anapc15,0.019212404,0.042151566
Emc1,-0.739772891,0.042199338
Tfeb,0.637714979,0.042217845
A730017L22Rik,0.711863039,0.042219926
Gm12918,-0.326451329,0.042225431
Hadhb,-1.074599533,0.042230185
Per1,1.381336831,0.042230817
Elof1,-2.016022837,0.042238386
Hspa8,0.439157028,0.04225143
Me3,1.234418663,0.042339146
Nop53,1.302758449,0.042411932
Qrich1,-0.963469083,0.042425963
Phf23,0.419822719,0.04243256
Eif5a,-0.751009303,0.042490374
Cabin1,-1.948857993,0.042498374
Kctd18,-1.239338313,0.042583932
Rabl6,-0.421324459,0.042597776
Zdhhc4,-0.725509079,0.042667856
Cdk20,1.335675558,0.042671835
Zfp644,0.388619511,0.042681355
4930431P19Rik,-1.242713803,0.042697276
Thyn1,0.531649844,0.04271019
Krtcap2,-2.099149999,0.042718145
Cmtr1,-0.805267399,0.042722684
Pank1,0.547162829,0.042723492
Agap1,1.808268558,0.042771072
Nos3,-0.948355098,0.042773744
Pfkfb1,-0.947061986,0.042801325
Uaca,1.547317733,0.042807055
Gabbr1,0.813001897,0.042809205
Alg2,1.059152677,0.042819573
Wars2,0.54782037,0.042865048
Tigar,1.11131971,0.042877955
Cdc25a,0.98589993,0.042908208
Trim68,0.732766588,0.042914935
Maea,-2.802465695,0.042921295
Ssh3,1.0897246,0.04292222
Dyrk1b,-0.735406448,0.042944964
Cox18,1.63096912,0.04294618
Igf2bp2,1.48154174,0.042964939
Kars,-1.697712862,0.043057442
Armcx3,-1.085175014,0.043065736
Exoc5,-1.329461768,0.043072803
Maz,-0.829509244,0.043197451
Pzp,0.801289924,0.043201542
Tbrg4,-0.635579769,0.043209209
Anks3,0.273972512,0.043230311
Acy3,0.573787997,0.043258178
Nrbp1,-1.468067311,0.043259513
2900076A07Rik,-0.128260493,0.043285589
Fermt2,0.825638858,0.043354487
L2hgdh,1.029630678,0.043359935
Mvp,0.544878661,0.0434173
Rbm39,0.76799249,0.043459982
Vegfa,0.798552266,0.043463286
Fam76b,-1.219859654,0.043475025
Lamp2,-0.825029141,0.043498957
Alg5,0.795367187,0.043499725
Dnlz,-0.937136892,0.043505256
Ddn,-1.064458159,0.043505979
Cdca3,-0.736965594,0.043507005
Cstf1,-0.316602164,0.043516995
Arhgap23,-1.32052093,0.043586447
Atp1a2,-1.295218005,0.043635245
Cdk2,-2.205117157,0.043670031
Fxyd1,0.206213051,0.043670941
Cdk18,0.432677274,0.043699406
Praf2,1.113280047,0.043703921
Cacna2d1,-0.466864376,0.043723614
Kcnb1,1.60819179,0.043747766
Fance,1.170466721,0.043753797
Rhot1,2.37534096,0.043776033
Tead1,0.925766438,0.043794222
Fau,-0.373000999,0.043965456
Cnot7,0.81698141,0.04397076
Col5a3,-0.136992111,0.043973258
Abcd2,-0.476976864,0.044017398
Chadl,0.711037418,0.044023424
Mapk1ip1l,-0.40886104,0.044057654
B230118H07Rik,1.961882194,0.044057827
Pfdn5,0.6311363,0.044067836
Coq5,-0.628019622,0.044073123
Msl3,0.706666722,0.044104292
Wwc2,1.960677305,0.044135244
Actn2,1.429656961,0.044147474
Casq1,-0.277803078,0.044152931
Sf3b1,-0.728420324,0.044164516
Gm44597,1.007720678,0.04417266
Ankra2,-0.693520488,0.044236239
